web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,image
1777380576-95,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=15,25x34 House Plan North Facing - Smart 3 BHK Layout on 850 Sq Ft Plot with Spacious Hall and Porch,3BHK house plan for 850 sqft plot:  25x34 house plan North facing with 3 bed 1 bath,Layout: 25 x 34 ft,Built-up Area: 850 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1118-25x34-house-plan-north-face-thumb-img.jpg
1777380576-96,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=15,"28x42 House Plan West Facing - 2 BHK with Parking, Porch & 2 Baths on 1176 Sq Ft",2BHK house plan for 1176 sqft plot:  28x42 house plan West facing with 2 bed 2 bath and car parking,Layout: 28 x 42 ft,Built-up Area: 1176 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1114-28x42-house-plan-west-face-thumb-img.jpg
1777380578-97,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,30x47 West Facing 3BHK House Plan with Parking and Store - 1410 sq ft Layout,3BHK house plan for 1410 sqft plot:  30x47 house plan East facing with 3 bed 1 bath and car parking,Layout: 30 x 47 ft,Built-up Area: 1410 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1100-30x47-house-plan-east-face-thumb-img.jpg
1777380578-98,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,"27x45 East Facing House Plan - Luxurious 2 BHK with Parking, Store & Puja Room (1215 sq ft)",2BHK house plan for 1215 sqft plot:  27x45 house plan East facing with 2 bed 3 bath and car parking,Layout: 27 x 45 ft,Built-up Area: 1215 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1101-27x45-house-plan-east-face-thumb-img.jpg
1777380578-99,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,34x48 North Facing 3BHK House Plan - Spacious Design with Parking on 1632 sq ft Plot,3BHK house plan for 1632 sqft plot:  34x48 house plan North facing with 3 bed 1 bath and car parking,Layout: 34 x 48 ft,Built-up Area: 1632 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1097-34x48-house-plan-north-face-thumb-img.jpg
1777380578-100,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,20x28 West Facing 2BHK House Plan - Compact & Smart Layout on 560 sq ft,2BHK house plan for 560 sqft plot:  20x28 house plan West facing with 2 bed 1 bath,Layout: 20 x 28 ft,Built-up Area: 560 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1098-20x28-house-plan-west-face-thumb-img.jpg
1777380578-101,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,"25x35 House Plan - South Facing, 3 BHK, 1 Bath",3BHK house plan for 875 sqft plot:  25x35 house plan South facing with 3 bed 1 bath,Layout: 25 x 35 ft,Built-up Area: 875 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1040-25x35-house-plan-south-face-thumb-img.jpg
1777380578-102,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,22x40 North Facing 2BHK House Plan - Smart Layout on 880 sq ft Plot with Bike Parking,2BHK house plan for 880 sqft plot:  22x40 house plan North facing with 2 bed 2 bath and car parking,Layout: 22 x 40 ft,Built-up Area: 880 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1095-22x40-house-plan-north-face-thumb-img.jpg
1777380578-103,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,"50x60 North Facing 3BHK Bungalow House Plan with Pool, Parking & Garden on 3000 sq ft Plot",3BHK house plan for 3000 sqft plot:  50x60 house plan North facing with 3 bed 3 bath and car parking,Layout: 50 x 60 ft,Built-up Area: 3000 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1092-50x60-house-plan-north-face-thumb-img.jpg
1777380578-104,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,29x44 North Facing 2BHK House Plan with Car Parking & Porch on 1276 sq ft Plot,2BHK house plan for 1276 sqft plot:  29x44 house plan North facing with 2 bed 3 bath and car parking,Layout: 29 x 44 ft,Built-up Area: 1276 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1093-29x44-house-plan-north-face-thumb-img.jpg
1777380578-105,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,"25x33 North Facing 2BHK House Plan with Living Room, 2 Baths on 825 sq ft Plot",2BHK house plan for 825 sqft plot:  25x33 house plan North facing with 2 bed 2 bath,Layout: 25 x 33 ft,Built-up Area: 825 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1094-25x33-house-plan-north-face-thumb-img.jpg
1777380578-106,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,22x30 North Facing 3BHK House Plan - Smart Layout on 660 sq ft Plot,3BHK house plan for 660 sqft plot:  22x30 house plan North facing with 3 bed 1 bath,Layout: 22 x 30 ft,Built-up Area: 660 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1096-22x30-house-plan-north-face-thumb-img.jpg
1777380578-107,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,28x46 South Facing 4BHK House Plan with Drawing Room & Big Hall on 1288 sq ft Plot,4BHK house plan for 1288 sqft plot:  28x46 house plan South facing with 4 bed 1 bath,Layout: 28 x 46 ft,Built-up Area: 1288 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1090-28x46-house-plan-south-face-thumb-img.jpg
1777380578-108,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=17,"34x47 West Facing 3BHK House Plan with Parking, Drawing Room & Store on 1598 sq ft Plot",3BHK house plan for 1598 sqft plot:  34x47 house plan West facing with 3 bed 2 bath and car parking,Layout: 34 x 47 ft,Built-up Area: 1598 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1091-34x47-house-plan-west-face-thumb-img.jpg
1777380581-109,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,21x35 House Plan North Facing - 3 Bedroom Village Home Design on 735 Sq Ft,3BHK house plan for 735 sqft plot:  21x35 house plan North facing with 3 bed 1 bath,Layout: 21 x 35 ft,Built-up Area: 735 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1076-21x35-house-plan-north-face-thumb-img.jpg
1777380581-110,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"20x20 South Facing House Plan - 2BHK, 400 Sqft (Vastu Compliant)","3BHK house plan for 400 sqft plot:  20x20 house plan South facing with 3 bed 3 bath, G+ 1 floors",Layout: 20 x 20 ft,Built-up Area: 400 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1012-th-fp1012-20x20-house-plan-south-face-thumb-img.jpg
1777380581-111,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"20x30 South Facing House Plan - 2BHK, 600 Sqft (Vastu Compliant)","2BHK house plan for 600 sqft plot:  20x30 house plan South facing with 2 bed 3 bath, G+ 1 floors",Layout: 20 x 30 ft,Built-up Area: 600 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1013-th-fp1013-20x30-house-plan-south-face-thumb-img.jpg
1777380581-112,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,35x35 South Facing House Plan - Smart 4 BHK Design on 1225 Sqft Plot,4BHK house plan for 1225 sqft plot:  35x35 house plan South facing with 4 bed 2 bath,Layout: 35 x 35 ft,Built-up Area: 1225 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1014-th-fp1014-35x35-house-plan-south-face-thumb-img.jpg
1777380581-113,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"20x40 South Facing House Plan - 2BHK, 800 Sqft (Vastu Compliant)","3BHK house plan for 800 sqft plot:  20x40 house plan South facing with 3 bed 3 bath, G+ 1 floors",Layout: 20 x 40 ft,Built-up Area: 800 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1015-th-fp1015-20x40-house-plan-south-face-thumb-img.jpg
1777380581-114,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,20x45 South Facing House Plan – Smart 3 BHK Design on 900 Sqft Plot,"3BHK house plan for 900 sqft plot:  20x45 house plan South facing with 3 bed 3 bath, G+ 1 floors",Layout: 20 x 45 ft,Built-up Area: 900 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1016-th-fp1016-20x45-house-plan-south-face-thumb-img.jpg
1777380581-115,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"30x60 South Facing House Plan - 2BHK, 1800 Sqft (Vastu Compliant)",3BHK house plan for 1800 sqft plot:  30x60 house plan South facing with 3 bed 2 bath and car parking,Layout: 30 x 60 ft,Built-up Area: 1800 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1017-30x60-house-plan-south-face-thumb-img.jpg
1777380581-116,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"25x50 South Facing House Plan - 4BHK, 1250 Sqft (Vastu Compliant)",4BHK house plan for 1250 sqft plot:  25x50 house plan South facing with 4 bed 1 bath,Layout: 25 x 50 ft,Built-up Area: 1250 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1018-th-fp1018-25x50-house-plan-south-face-thumb-img.jpg
1777380581-117,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"26x48 South Facing House Plan - 2BHK, 1248 Sqft (Vastu Plan)",2BHK house plan for 1248 sqft plot:  26x48 house plan South facing with 2 bed 2 bath and car parking,Layout: 26 x 48 ft,Built-up Area: 1248 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1020-th-fp1020-26x48-house-plan-south-face-thumb-img.jpg
1777380581-118,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"30x25 South Facing House Plan - 2BHK, Parking on 750 Sqft","2BHK house plan for 750 sqft plot:  30x25 house plan South facing with 2 bed 1 bath, G+ 1 floors and car parking",Layout: 30 x 25 ft,Built-up Area: 750 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1021-th-fp1021-30x25-house-plan-south-face-thumb-img.jpg
1777380581-119,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"25x32 South Facing House Plan - 2BHK, 800 Sqft (Vastu Compliant)",2BHK house plan for 800 sqft plot:  25x32 house plan South facing with 2 bed 1 bath,Layout: 25 x 32 ft,Built-up Area: 800 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1022-th-fp1022-25x32-house-plan-south-face-thumb-img.jpg
1777380581-120,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=19,"33x53 South Facing House Plan - 5BHK, 1749 Sqft (Vastu Compliant)","5BHK house plan for 1749 sqft plot:  33x53 house plan South facing with 5 bed 5 bath, G+ 1 floors and car parking",Layout: 33 x 53 ft,Built-up Area: 1749 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1023-th-fp1023-33x53-house-plan-south-face-thumb-img.jpg
1777380584-121,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,"32x45 North Facing House Plan - 1440 sqft, 2 BHK, Parking",2BHK house plan for 1440 sqft plot:  32x45 house plan North facing with 2 bed 2 bath and car parking,Layout: 32 x 45 ft,Built-up Area: 1440 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1038-32x45-house-plan-north-face-thumb-img.jpg
1777380584-122,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,58x32 North Facing House Plan with Dalan - 4BHK Village Style Single Floor Home Design,4BHK house plan for 1856 sqft plot:  58x32 house plan North facing with 4 bed 2 bath,Layout: 58 x 32 ft,Built-up Area: 1856 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1039-58x32-house-plan-north-face-thumb-img.jpg
1777380584-123,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,"45x45 South Facing House Plan - 5 BHK, 3 Bath Single Floor Design",5BHK house plan for 2025 sqft plot:  45x45 house plan South facing with 5 bed 3 bath,Layout: 45 x 45 ft,Built-up Area: 2025 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1041-45x45-house-plan-south-face-thumb-img.jpg
1777380584-124,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,24x30 East Facing House Plan - 2 BHK Single Floor Design on 720 Sqft,2BHK house plan for 720 sqft plot:  24x30 house plan East facing with 2 bed 2 bath,Layout: 24 x 30 ft,Built-up Area: 720 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1042-24x30-house-plan-east-face-thumb-img.jpg
1777380584-125,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,36x50 East Facing House Plan - 3 BHK Single Floor Design on 1800 Sqft Plot,3BHK house plan for 1800 sqft plot:  36x50 house plan East facing with 3 bed 3 bath,Layout: 36 x 50 ft,Built-up Area: 1800 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1043-36x50-house-plan-east-face-thumb-img.jpg
1777380584-126,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,32x36 South Facing House Plan - 3 BHK 1152 Sqft Village Home Design,3BHK house plan for 1152 sqft plot:  32x36 house plan South facing with 3 bed 2 bath,Layout: 32 x 36 ft,Built-up Area: 1152 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1044-32x36-house-plan-south-face-thumb-img.jpg
1777380584-127,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,30x25 South Facing House Plan - 3 BHK Duplex with Porch on 750 Sqft,1BHK house plan for 750 sqft plot:  30x25 house plan South facing with 1 bed 1 bath,Layout: 30 x 25 ft,Built-up Area: 750 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1045-30x25-house-plan-south-face-thumb-img.jpg
1777380584-128,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,25x30 South Facing House Plan - 3 BHK Single-Floor Design with Parking on 750 Sqft,3BHK house plan for 750 sqft plot:  25x30 house plan South facing with 3 bed 1 bath and car parking,Layout: 25 x 30 ft,Built-up Area: 750 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1046-25x30-house-plan-south-face-thumb-img.jpg
1777380584-129,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,"30x38 East Facing House Plan - 3 BHK, 2 Bath, Store & Covered Parking | 1140 Sqft",3BHK house plan for 1140 sqft plot:  30x38 house plan East facing with 3 bed 2 bath and car parking,Layout: 30 x 38 ft,Built-up Area: 1140 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1047-30x38-house-plan-east-face-thumb-img.jpg
1777380584-130,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,15x30 South Facing House Plan - 1 BHK Small Home Design with Dining & Bike Parking | 450 Sqft,1BHK house plan for 450 sqft plot:  15x30 house plan South facing with 1 bed 1 bath,Layout: 15 x 30 ft,Built-up Area: 450 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1048-15x30-house-plan-south-face-thumb-img.jpg
1777380584-131,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,30x40 West Facing House Plan – 3 BHK Single Floor Design with Open Parking | 1200 Sqft Village Home,3BHK house plan for 1200 sqft plot:  30x40 house plan West facing with 3 bed 1 bath and car parking,Layout: 30 x 40 ft,Built-up Area: 1200 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1049-30x40-house-plan-west-face-thumb-img.jpg
1777380584-132,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=21,"18x19 Tiny 1 BHK House Design - Smart Layout for Small Plot in Dhapa, Kolkata",1BHK house plan for 362 sqft plot:  18x20 house plan East facing with 1 bed 1 bath,Layout: 18 x 20 ft,Built-up Area: 362 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1051-18x19-house-plan-east-face-thumb-img.jpg
1777380587-133,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,25x32 House Plan East Facing - Compact 3BHK with Kitchen Store & Hall (800 Sqft),3BHK house plan for 800 sqft plot:  25x32 house plan East facing with 3 bed 1 bath,Layout: 25 x 32 ft,Built-up Area: 800 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1067-25x32-house-plan-east-face-thumb-img.jpg
1777380587-134,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,"27x39 House Plan North Facing - 3BHK with 2 Bath, Kitchen Store & Spacious Hall (1053 Sqft)",3BHK house plan for 1053 sqft plot:  27x39 house plan North facing with 3 bed 2 bath,Layout: 27 x 39 ft,Built-up Area: 1053 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1068-27x39-house-plan-north-face-thumb-img.jpg
1777380587-135,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,20x40 House Plan North Facing - Spacious 3BHK for 800 sq ft plot (Hazaribagh),3BHK house plan for 800 sqft plot:  20x40 house plan North facing with 3 bed 1 bath,Layout: 20 x 40 ft,Built-up Area: 800 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1069-20x40-house-plan-north-face-thumb-img.jpg
1777380587-136,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,26x32 House Plan East Facing - 3BHK with Spacious Hall and Kitchen (832 Sqft),3BHK house plan for 832 sqft plot:  26x32 house plan East facing with 3 bed 1 bath,Layout: 26 x 32 ft,Built-up Area: 832 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1070-26x32-house-plan-east-face-thumb-img.jpg
1777380587-137,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,27x37 House Plan North Facing - 2BHK + Guest Room with Kitchen & Store (999 Sqft),2BHK house plan for 999 sqft plot:  27x37 house plan North facing with 2 bed 1 bath,Layout: 27 x 37 ft,Built-up Area: 999 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1071-27x37-house-plan-north-face-thumb-img.jpg
1777380587-138,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,"25x45 House Plan South Facing - 3BHK with Store, Car Parking on 1125 Sqft Plot",3BHK house plan for 1125 sqft plot:  25x45 house plan South facing with 3 bed 1 bath and car parking,Layout: 25 x 45 ft,Built-up Area: 1125 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1072-25x45-house-plan-south-face-thumb-img.jpg
1777380587-139,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,22x40 House Plan North Facing - 2 BHK with Store and Dalan on 880 Sqft Plot,2BHK house plan for 880 sqft plot:  22x40 house plan North facing with 2 bed 1 bath,Layout: 22 x 40 ft,Built-up Area: 880 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1073-22x40-house-plan-north-face-thumb-img.jpg
1777380587-140,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,"30x50 House Plan North Facing - 3 BHK with Car Parking, Puja Space & Store on 1500 Sqft",3BHK house plan for 1500 sqft plot:  30x50 house plan North facing with 3 bed 2 bath and car parking,Layout: 30 x 50 ft,Built-up Area: 1500 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1074-30x50-house-plan-north-face-thumb-img.jpg
1777380587-141,https://www.houseyog.com/get-house-plan,https://www.houseyog.com/get-house-plan?p=23,29x35 House Plan North Facing - 3 BHK with Puja Room and Dalan (1015 Sqft),3BHK house plan for 1015 sqft plot:  29x35 house plan North facing with 3 bed 1 bath,Layout: 29 x 35 ft,Built-up Area: 1015 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1075-29x35-house-plan-north-face-thumb-img.jpg
